year,city,country,local_temp,global_temp,7-Year MA (local),7-Year MA (global)
1750,Vienna,Austria,8.86,8.72,,
1751,Vienna,Austria,9.03,7.98,,
1752,Vienna,Austria,3.42,5.78,,
1753,Vienna,Austria,7.91,8.39,,
1754,Vienna,Austria,7.73,8.47,,
1755,Vienna,Austria,7.53,8.36,,
1756,Vienna,Austria,8.51,8.85,7.57,8.08
1757,Vienna,Austria,8.14,9.02,7.47,8.12
1758,Vienna,Austria,7.13,6.74,7.20,7.94
1759,Vienna,Austria,8.09,7.99,7.86,8.26
1760,Vienna,Austria,7.99,7.19,7.87,8.09
1761,Vienna,Austria,8.46,8.77,7.98,8.13
1762,Vienna,Austria,7.89,8.61,8.03,8.17
1763,Vienna,Austria,7.58,7.5,7.90,7.97
1764,Vienna,Austria,8.24,8.4,7.91,7.89
1765,Vienna,Austria,7.95,8.25,8.03,8.10
1766,Vienna,Austria,7.9,8.41,8.00,8.16
1767,Vienna,Austria,7.32,8.22,7.91,8.31
1768,Vienna,Austria,6.82,6.78,7.67,8.02
1769,Vienna,Austria,7.67,7.69,7.64,7.89
1770,Vienna,Austria,7.69,7.69,7.66,7.92
1771,Vienna,Austria,6.97,7.85,7.47,7.84
1772,Vienna,Austria,8.9,8.19,7.61,7.83
1773,Vienna,Austria,8.48,8.22,7.69,7.81
1774,Vienna,Austria,8.04,8.77,7.80,7.88
1775,Vienna,Austria,8.96,9.18,8.10,8.23
1776,Vienna,Austria,7.45,8.3,8.07,8.31
1777,Vienna,Austria,7.66,8.26,8.07,8.40
1778,Vienna,Austria,9,8.54,8.36,8.49
1779,Vienna,Austria,9.2,8.98,8.40,8.61
1780,Vienna,Austria,7.64,9.43,8.28,8.78
1781,Vienna,Austria,8.9,8.1,8.40,8.68
1782,Vienna,Austria,7.64,7.9,8.21,8.50
1783,Vienna,Austria,8.72,7.68,8.39,8.41
1784,Vienna,Austria,7.18,7.86,8.33,8.36
1785,Vienna,Austria,6.59,7.36,7.98,8.19
1786,Vienna,Austria,6.85,8.26,7.65,8.08
1787,Vienna,Austria,8.26,8.03,7.73,7.88
1788,Vienna,Austria,7.63,8.45,7.55,7.93
1789,Vienna,Austria,8.27,8.33,7.64,8.00
1790,Vienna,Austria,8.32,7.98,7.59,8.04
1791,Vienna,Austria,8.89,8.23,7.83,8.09
1792,Vienna,Austria,7.99,8.09,8.03,8.20
1793,Vienna,Austria,8.14,8.23,8.21,8.19
1794,Vienna,Austria,9.16,8.53,8.34,8.26
1795,Vienna,Austria,7.91,8.35,8.38,8.25
1796,Vienna,Austria,8.07,8.27,8.35,8.24
1797,Vienna,Austria,9.49,8.51,8.52,8.32
1798,Vienna,Austria,8.41,8.67,8.45,8.38
1799,Vienna,Austria,6.3,8.51,8.21,8.44
1800,Vienna,Austria,8.17,8.48,8.22,8.47
1801,Vienna,Austria,8.99,8.59,8.19,8.48
1802,Vienna,Austria,8.71,8.58,8.31,8.52
1803,Vienna,Austria,7.23,8.5,8.19,8.55
1804,Vienna,Austria,7.5,8.84,7.90,8.60
1805,Vienna,Austria,6.26,8.56,7.59,8.58
1806,Vienna,Austria,8.93,8.43,7.97,8.57
1807,Vienna,Austria,8.75,8.28,8.05,8.54
1808,Vienna,Austria,7.14,7.63,7.79,8.40
1809,Vienna,Austria,7.79,7.08,7.66,8.19
1810,Vienna,Austria,7.82,6.92,7.74,7.96
1811,Vienna,Austria,9.06,6.86,7.96,7.68
1812,Vienna,Austria,6.85,7.05,8.05,7.46
1813,Vienna,Austria,7.51,7.74,7.85,7.37
1814,Vienna,Austria,6.9,7.59,7.58,7.27
1815,Vienna,Austria,7.36,7.24,7.61,7.21
1816,Vienna,Austria,7.17,6.94,7.52,7.19
1817,Vienna,Austria,8,6.98,7.55,7.20
1818,Vienna,Austria,8.27,7.83,7.44,7.34
1819,Vienna,Austria,8.31,7.37,7.65,7.38
1820,Vienna,Austria,7.44,7.62,7.64,7.37
1821,Vienna,Austria,7.98,8.09,7.79,7.44
1822,Vienna,Austria,9.28,8.19,8.06,7.57
1823,Vienna,Austria,7.78,7.72,8.15,7.69
1824,Vienna,Austria,8.59,8.55,8.24,7.91
1825,Vienna,Austria,8.43,8.39,8.26,7.99
1826,Vienna,Austria,8.1,8.36,8.23,8.13
1827,Vienna,Austria,8.35,8.81,8.36,8.30
1828,Vienna,Austria,8.04,8.17,8.37,8.31
1829,Vienna,Austria,5.71,7.94,7.86,8.28
1830,Vienna,Austria,7.53,8.52,7.82,8.39
1831,Vienna,Austria,7.95,7.64,7.73,8.26
1832,Vienna,Austria,7.26,7.45,7.56,8.13
1833,Vienna,Austria,8.11,8.01,7.56,8.08
1834,Vienna,Austria,9.31,8.15,7.70,7.98
1835,Vienna,Austria,7.6,7.39,7.64,7.87
1836,Vienna,Austria,8.19,7.7,7.99,7.84
1837,Vienna,Austria,6.9,7.38,7.90,7.67
1838,Vienna,Austria,6.23,7.51,7.66,7.66
1839,Vienna,Austria,7.88,7.63,7.75,7.68
1840,Vienna,Austria,6.43,7.8,7.51,7.65
1841,Vienna,Austria,8.52,7.69,7.39,7.59
1842,Vienna,Austria,7.16,8.02,7.33,7.68
1843,Vienna,Austria,8.07,8.17,7.31,7.74
1844,Vienna,Austria,7.17,7.65,7.35,7.78
1845,Vienna,Austria,7.63,7.85,7.55,7.83
1846,Vienna,Austria,9.16,8.55,7.73,7.96
1847,Vienna,Austria,7.24,8.09,7.85,8.00
1848,Vienna,Austria,8.26,7.98,7.81,8.04
1849,Vienna,Austria,7.26,7.98,7.83,8.04
1850,Vienna,Austria,7.54,7.9,7.75,8.00
1851,Vienna,Austria,7.63,8.18,7.82,8.08
1852,Vienna,Austria,8.42,8.1,7.93,8.11
1853,Vienna,Austria,7.1,8.04,7.64,8.04
1854,Vienna,Austria,7.58,8.21,7.68,8.06
1855,Vienna,Austria,6.83,8.11,7.48,8.07
1856,Vienna,Austria,7.62,8,7.53,8.08
1857,Vienna,Austria,7.95,7.76,7.59,8.06
1858,Vienna,Austria,6.65,8.1,7.45,8.05
1859,Vienna,Austria,8.61,8.25,7.48,8.07
1860,Vienna,Austria,7.44,7.96,7.53,8.06
1861,Vienna,Austria,8.02,7.85,7.59,8.00
1862,Vienna,Austria,8.32,7.56,7.80,7.93
1863,Vienna,Austria,9.33,8.11,8.05,7.94
1864,Vienna,Austria,6.23,7.98,7.80,7.97
1865,Vienna,Austria,7.87,8.18,7.97,7.98
1866,Vienna,Austria,8.59,8.29,7.97,7.99
1867,Vienna,Austria,7.73,8.44,8.01,8.06
1868,Vienna,Austria,9.24,8.25,8.19,8.12
1869,Vienna,Austria,8.34,8.43,8.19,8.24
1870,Vienna,Austria,6.49,8.2,7.78,8.25
1871,Vienna,Austria,6.23,8.12,7.78,8.27
1872,Vienna,Austria,9.24,8.19,7.98,8.27
1873,Vienna,Austria,8.53,8.35,7.97,8.28
1874,Vienna,Austria,7.7,8.43,7.97,8.28
1875,Vienna,Austria,6.71,7.86,7.61,8.23
1876,Vienna,Austria,7.61,8.08,7.50,8.18
1877,Vienna,Austria,7.84,8.54,7.69,8.22
1878,Vienna,Austria,8.16,8.83,7.97,8.33
1879,Vienna,Austria,6.85,8.17,7.63,8.32
1880,Vienna,Austria,8.09,8.12,7.57,8.29
1881,Vienna,Austria,6.91,8.27,7.45,8.27
1882,Vienna,Austria,8.52,8.13,7.71,8.31
1883,Vienna,Austria,7.41,7.98,7.68,8.29
1884,Vienna,Austria,7.99,7.77,7.70,8.18
1885,Vienna,Austria,7.94,7.92,7.67,8.05
1886,Vienna,Austria,7.92,7.95,7.83,8.02
1887,Vienna,Austria,7.12,7.91,7.69,7.99
1888,Vienna,Austria,6.91,8.09,7.69,7.96
1889,Vienna,Austria,7.4,8.32,7.53,7.99
1890,Vienna,Austria,7.57,7.97,7.55,7.99
1891,Vienna,Austria,7.34,8.02,7.46,8.03
1892,Vienna,Austria,7.58,8.07,7.41,8.05
1893,Vienna,Austria,7.4,8.06,7.33,8.06
1894,Vienna,Austria,7.99,8.16,7.46,8.10
1895,Vienna,Austria,7.32,8.15,7.51,8.11
1896,Vienna,Austria,7.47,8.21,7.52,8.09
1897,Vienna,Austria,7.86,8.29,7.57,8.14
1898,Vienna,Austria,8.78,8.18,7.77,8.16
1899,Vienna,Austria,7.79,8.4,7.80,8.21
1900,Vienna,Austria,8.44,8.5,7.95,8.27
1901,Vienna,Austria,7.61,8.54,7.90,8.32
1902,Vienna,Austria,6.98,8.3,7.85,8.35
1903,Vienna,Austria,8.29,8.22,7.96,8.35
1904,Vienna,Austria,8.18,8.09,8.01,8.32
1905,Vienna,Austria,7.95,8.23,7.89,8.33
1906,Vienna,Austria,8.09,8.38,7.93,8.32
1907,Vienna,Austria,7.69,7.95,7.83,8.24
1908,Vienna,Austria,7.37,8.19,7.79,8.19
1909,Vienna,Austria,7.43,8.18,7.86,8.18
1910,Vienna,Austria,8.4,8.22,7.87,8.18
1911,Vienna,Austria,8.68,8.18,7.94,8.19
1912,Vienna,Austria,7.31,8.17,7.85,8.18
1913,Vienna,Austria,8.02,8.3,7.84,8.17
1914,Vienna,Austria,7.86,8.59,7.87,8.26
1915,Vienna,Austria,7.81,8.59,7.93,8.32
1916,Vienna,Austria,8.73,8.23,8.12,8.33
1917,Vienna,Austria,7.6,8.02,8.00,8.30
1918,Vienna,Austria,8.53,8.13,7.98,8.29
1919,Vienna,Austria,7.37,8.38,7.99,8.32
1920,Vienna,Austria,8.48,8.36,8.05,8.33
1921,Vienna,Austria,8.64,8.57,8.17,8.33
1922,Vienna,Austria,7.16,8.41,8.07,8.30
1923,Vienna,Austria,8.19,8.42,8.00,8.33
1924,Vienna,Austria,7.24,8.51,7.94,8.40
1925,Vienna,Austria,8.22,8.53,7.90,8.45
1926,Vienna,Austria,8.74,8.73,8.10,8.50
1927,Vienna,Austria,8.19,8.52,8.05,8.53
1928,Vienna,Austria,8.32,8.63,8.01,8.54
1929,Vienna,Austria,7.03,8.24,7.99,8.51
1930,Vienna,Austria,8.7,8.63,8.06,8.54
1931,Vienna,Austria,7.55,8.72,8.11,8.57
1932,Vienna,Austria,8.14,8.71,8.10,8.60
1933,Vienna,Austria,7.07,8.34,7.86,8.54
1934,Vienna,Austria,9.59,8.63,8.06,8.56
1935,Vienna,Austria,8.13,8.52,8.03,8.54
1936,Vienna,Austria,8.45,8.55,8.23,8.59
1937,Vienna,Austria,8.61,8.7,8.22,8.60
1938,Vienna,Austria,8.52,8.86,8.36,8.62
1939,Vienna,Austria,8.49,8.76,8.41,8.62
1940,Vienna,Austria,6.17,8.76,8.28,8.68
1941,Vienna,Austria,6.98,8.77,7.91,8.70
1942,Vienna,Austria,7.18,8.73,7.77,8.73
1943,Vienna,Austria,8.57,8.76,7.79,8.76
1944,Vienna,Austria,8.06,8.85,7.71,8.78
1945,Vienna,Austria,8.62,8.58,7.72,8.74
1946,Vienna,Austria,8.52,8.68,7.73,8.73
1947,Vienna,Austria,8.24,8.8,8.02,8.74
1948,Vienna,Austria,8.64,8.75,8.26,8.74
1949,Vienna,Austria,8.83,8.59,8.50,8.72
1950,Vienna,Austria,8.77,8.37,8.53,8.66
1951,Vienna,Austria,9.17,8.63,8.68,8.63
1952,Vienna,Austria,7.98,8.64,8.59,8.64
1953,Vienna,Austria,8.68,8.87,8.62,8.66
1954,Vienna,Austria,7.49,8.56,8.51,8.63
1955,Vienna,Austria,7.69,8.63,8.37,8.61
1956,Vienna,Austria,6.95,8.28,8.10,8.57
1957,Vienna,Austria,8.57,8.73,8.08,8.62
1958,Vienna,Austria,8.37,8.77,7.96,8.64
1959,Vienna,Austria,8.59,8.73,8.05,8.65
1960,Vienna,Austria,8.46,8.58,8.02,8.61
1961,Vienna,Austria,8.95,8.8,8.23,8.65
1962,Vienna,Austria,7.48,8.75,8.20,8.66
1963,Vienna,Austria,7.46,8.86,8.27,8.75
1964,Vienna,Austria,7.86,8.41,8.17,8.70
1965,Vienna,Austria,7.27,8.53,8.01,8.67
1966,Vienna,Austria,8.82,8.6,8.04,8.65
1967,Vienna,Austria,8.87,8.7,8.10,8.66
1968,Vienna,Austria,8.34,8.52,8.01,8.62
1969,Vienna,Austria,7.8,8.6,8.06,8.60
1970,Vienna,Austria,7.79,8.7,8.11,8.58
1971,Vienna,Austria,8.31,8.6,8.17,8.61
1972,Vienna,Austria,8.23,8.5,8.31,8.60
1973,Vienna,Austria,8.26,8.95,8.23,8.65
1974,Vienna,Austria,8.95,8.47,8.24,8.62
1975,Vienna,Austria,9.02,8.74,8.34,8.65
1976,Vienna,Austria,8.25,8.35,8.40,8.62
1977,Vienna,Austria,8.63,8.85,8.52,8.64
1978,Vienna,Austria,7.68,8.69,8.43,8.65
1979,Vienna,Austria,8.3,8.73,8.44,8.68
1980,Vienna,Austria,7.17,8.98,8.29,8.69
1981,Vienna,Austria,8.43,9.17,8.21,8.79
1982,Vienna,Austria,8.68,8.64,8.16,8.77
1983,Vienna,Austria,9.2,9.03,8.30,8.87
1984,Vienna,Austria,8.12,8.69,8.23,8.85
1985,Vienna,Austria,7.35,8.66,8.18,8.84
1986,Vienna,Austria,8.08,8.83,8.15,8.86
1987,Vienna,Austria,7.65,8.99,8.22,8.86
1988,Vienna,Austria,8.83,9.2,8.27,8.86
1989,Vienna,Austria,9.27,8.92,8.36,8.90
1990,Vienna,Austria,9.23,9.23,8.36,8.93
1991,Vienna,Austria,8.15,9.18,8.37,9.00
1992,Vienna,Austria,9.49,8.84,8.67,9.03
1993,Vienna,Austria,8.48,8.87,8.73,9.03
1994,Vienna,Austria,9.89,9.04,9.05,9.04
1995,Vienna,Austria,8.79,9.35,9.04,9.06
1996,Vienna,Austria,7.4,9.04,8.78,9.08
1997,Vienna,Austria,8.37,9.2,8.65,9.07
1998,Vienna,Austria,9.01,9.52,8.78,9.12
1999,Vienna,Austria,9.17,9.29,8.73,9.19
2000,Vienna,Austria,10.08,9.2,8.96,9.23
2001,Vienna,Austria,8.75,9.41,8.80,9.29
2002,Vienna,Austria,9.62,9.57,8.91,9.32
2003,Vienna,Austria,9.24,9.53,9.18,9.39
2004,Vienna,Austria,8.76,9.32,9.23,9.41
2005,Vienna,Austria,8.6,9.7,9.17,9.43
2006,Vienna,Austria,9.13,9.53,9.17,9.47
2007,Vienna,Austria,10.03,9.73,9.16,9.54
2008,Vienna,Austria,9.96,9.43,9.33,9.54
2009,Vienna,Austria,9.48,9.51,9.31,9.54
2010,Vienna,Austria,8.36,9.7,9.19,9.56
2011,Vienna,Austria,9.42,9.52,9.28,9.59
2012,Vienna,Austria,9.42,9.51,9.40,9.56
2013,Vienna,Austria,10.03,9.61,9.53,9.57
